Barri,Puntuació
Eagle Rock,0.0637844611528822
Silver Lake,0.046992481203007516
Del Rey,0.07568922305764411
Westchester,0.38583959899749376
Palms,0.025939849624060148
Cheviot Hills,0.025939849624060148
Lincoln Heights,0.06453634085213032
Playa del Rey,0.02807017543859649
Westwood,0.243859649122807
Central-Alameda,0.04486215538847117
Historic South-Central,0.07005012531328321
Sunland,0.05263157894736842
Tujunga,0.03997493734335839
Winnetka,0.06591478696741854
Northridge,0.3619047619047619
East Hollywood,0.22218045112781953
Downtown,0.34636591478696743
Glassell Park,0.041353383458646614
Watts,0.07644110275689223
Chinatown,0.010526315789473684
Fairfax,0.018922305764411028
Hollywood,0.15275689223057645
Mount Washington,0.010526315789473684
Studio City,0.09749373433583959
Elysian Valley,0.031578947368421054
Sylmar,0.45877192982456133
Canoga Park,0.06867167919799498
Sun Valley,0.06591478696741854
Mid-Wilshire,0.060275689223057635
Adams-Normandie,0.007017543859649122
North Hollywood,0.08621553884711779
Boyle Heights,0.22844611528822056
Echo Park,0.07080200501253132
Montecito Heights,0.03646616541353383
Koreatown,0.09749373433583959
West Adams,0.007017543859649122
Exposition Park,0.03859649122807017
El Sereno,0.04486215538847117
South Park,0.007017543859649122
Van Nuys,0.31979949874686714
Granada Hills,0.10238095238095238
Hollywood Hills,0.02807017543859649
Porter Ranch,0.10802005012531328
Gramercy Park,0.007017543859649122
Griffith Park,0.06942355889724311
Chesterfield Square,0.015413533834586466
West Hills,0.15350877192982454
Harbor City,0.042731829573934836
Harvard Park,0.003508771929824561
Vermont Square,0.05676691729323308
Pico-Union,0.05325814536340852
Sawtelle,0.04348370927318296
Mar Vista,0.02944862155388471
University Park,0.06591478696741854
Westlake,0.12330827067669173
Playa Vista,0.1031328320802005
Woodland Hills,0.5092731829573935
Lake View Terrace,0.025939849624060148
Leimert Park,0.022431077694235586
Carthay,0.021052631578947368
Green Meadows,0.014035087719298244
Highland Park,0.05889724310776942
Cypress Park,0.022431077694235586
Baldwin Hills/Crenshaw,0.037844611528822056
Valley Village,0.02944862155388471
Windsor Square,0.015413533834586466
Jefferson Park,0.022431077694235586
Vermont Vista,0.003508771929824561
Hyde Park,0.021052631578947368
Vermont-Slauson,0.007017543859649122
Valley Glen,0.07017543859649122
Pacoima,0.1431077694235589
Los Feliz,0.02731829573934837
Sherman Oaks,0.11979949874686716
Sepulveda Basin,0.05964912280701754
Tarzana,0.08972431077694235
Hansen Dam,0.03997493734335839
Lake Balboa,0.025939849624060148
Reseda,0.1794486215538847
Pacific Palisades,0.24937343358395989
North Hills,0.7857142857142857
Beverly Crest,0.03433583959899749
Panorama City,0.3808270676691729
Brentwood,0.2581453634085213
Rancho Park,0.007017543859649122
Pico-Robertson,0.015413533834586466
Harbor Gateway,0.022431077694235586
Arleta,0.02944862155388471
Beverlywood,0.007017543859649122
Century City,0.025939849624060148
Arlington Heights,0.007017543859649122
Mission Hills,0.3661654135338346
Florence,0.030827067669172932
Toluca Lake,0.007017543859649122
West Los Angeles,0.018922305764411028
Hollywood Hills West,0.017543859649122806
Elysian Park,0.03433583959899749
Bel-Air,0.02807017543859649
Harvard Heights,0.011904761904761904
Vermont Knolls,0.011904761904761904
Broadway-Manchester,0.011904761904761904
Chatsworth Reservoir,0.011904761904761904
Beverly Grove,0.023809523809523808
